rust-engine-1  | 2026-03-27T08:30:07.793287Z DEBUG hyper_util::client::legacy::pool: reuse idle connection for ("https", api-testnet.gateapi.io)
rust-engine-1  | 2026-03-27T08:30:07.793307Z DEBUG hyper_util::client::legacy::pool: reuse idle connection for ("https", api-testnet.gateapi.io)
rust-engine-1  | 2026-03-27T08:30:07.793339Z DEBUG reqwest::connect: starting new connection: https://api.gateio.ws/
rust-engine-1  | 2026-03-27T08:30:07.793348Z DEBUG hyper_util::client::legacy::pool: reuse idle connection for ("https", testnet.binancefuture.com)
rust-engine-1  | 2026-03-27T08:30:07.793370Z DEBUG hyper_util::client::legacy::pool: reuse idle connection for ("https", api-testnet.bybit.com)
rust-engine-1  | 2026-03-27T08:30:07.800084Z DEBUG hyper_util::client::legacy::connect::http: connecting to 18.178.165.190:443
rust-engine-1  | 2026-03-27T08:30:07.802886Z DEBUG hyper_util::client::legacy::pool: pooling idle connection for ("https", api-testnet.bybit.com)
rust-engine-1  | 2026-03-27T08:30:07.868387Z DEBUG hyper_util::client::legacy::pool: pooling idle connection for ("https", testnet.binancefuture.com)
rust-engine-1  | 2026-03-27T08:30:07.869819Z DEBUG hyper_util::client::legacy::pool: pooling idle connection for ("https", api-testnet.gateapi.io)
rust-engine-1  | 2026-03-27T08:30:07.869968Z DEBUG hyper_util::client::legacy::pool: reuse idle connection for ("https", api-testnet.gateapi.io)
rust-engine-1  | 2026-03-27T08:30:07.870015Z DEBUG hyper_util::client::legacy::pool: reuse idle connection for ("https", testnet.binancefuture.com)
rust-engine-1  | 2026-03-27T08:30:07.870046Z DEBUG hyper_util::client::legacy::pool: reuse idle connection for ("https", api-testnet.bybit.com)
rust-engine-1  | 2026-03-27T08:30:07.881005Z DEBUG hyper_util::client::legacy::pool: pooling idle connection for ("https", api-testnet.bybit.com)
rust-engine-1  | 2026-03-27T08:30:07.893151Z DEBUG hyper_util::client::legacy::pool: pooling idle connection for ("https", api-testnet.gateapi.io)
rust-engine-1  | 2026-03-27T08:30:07.893544Z DEBUG reqwest::connect: starting new connection: https://testnet.binancefuture.com/
rust-engine-1  | 2026-03-27T08:30:07.893879Z DEBUG hyper_util::client::legacy::connect::http: connected to 18.178.165.190:443
rust-engine-1  | 2026-03-27T08:30:07.898210Z DEBUG hyper_util::client::legacy::connect::http: connecting to 13.33.88.94:443
rust-engine-1  | 2026-03-27T08:30:07.899214Z DEBUG hyper_util::client::legacy::connect::http: connected to 13.33.88.94:443
rust-engine-1  | 2026-03-27T08:30:07.946914Z DEBUG hyper_util::client::legacy::pool: pooling idle connection for ("https", api-testnet.gateapi.io)
rust-engine-1  | 2026-03-27T08:30:07.959159Z DEBUG hyper_util::client::legacy::pool: pooling idle connection for ("https", testnet.binancefuture.com)
rust-engine-1  | 2026-03-27T08:30:07.959281Z DEBUG hyper_util::client::legacy::pool: reuse idle connection for ("https", api-testnet.gateapi.io)
rust-engine-1  | 2026-03-27T08:30:07.959309Z DEBUG hyper_util::client::legacy::pool: reuse idle connection for ("https", testnet.binancefuture.com)
rust-engine-1  | 2026-03-27T08:30:07.959325Z DEBUG hyper_util::client::legacy::pool: reuse idle connection for ("https", api-testnet.bybit.com)
rust-engine-1  | 2026-03-27T08:30:07.969034Z DEBUG hyper_util::client::legacy::pool: pooling idle connection for ("https", api-testnet.bybit.com)
rust-engine-1  | 2026-03-27T08:30:07.993791Z DEBUG hyper_util::client::legacy::pool: pooling idle connection for ("https", testnet.binancefuture.com)
rust-engine-1  | 2026-03-27T08:30:07.993913Z  INFO trading_engine::multi_exchange::margin_monitor: [margin] Binance balance: $4943.14 (margin: 100.0%)
rust-engine-1  | 2026-03-27T08:30:07.993987Z DEBUG reqwest::connect: starting new connection: https://api-demo.bybit.com/
rust-engine-1  | 2026-03-27T08:30:07.997480Z DEBUG hyper_util::client::legacy::connect::http: connecting to 3.165.75.78:443
rust-engine-1  | 2026-03-27T08:30:07.998648Z DEBUG hyper_util::client::legacy::connect::http: connected to 3.165.75.78:443
rust-engine-1  | 2026-03-27T08:30:08.012909Z DEBUG hyper_util::client::legacy::pool: pooling idle connection for ("https", api-demo.bybit.com)
rust-engine-1  | 2026-03-27T08:30:08.013953Z  INFO trading_engine::bybit_gateway: Bybit balance (totalAvailableBalance): $2943.73
rust-engine-1  | 2026-03-27T08:30:08.013989Z  INFO trading_engine::multi_exchange::margin_monitor: [margin] Bybit balance: $2943.73 (margin: 100.0%)
rust-engine-1  | 2026-03-27T08:30:08.014059Z DEBUG hyper_util::client::legacy::pool: reuse idle connection for ("https", api-testnet.gateapi.io)
rust-engine-1  | 2026-03-27T08:30:08.033820Z DEBUG hyper_util::client::legacy::pool: pooling idle connection for ("https", testnet.binancefuture.com)
rust-engine-1  | 2026-03-27T08:30:08.035682Z DEBUG hyper_util::client::legacy::pool: pooling idle connection for ("https", api-testnet.gateapi.io)
rust-engine-1  | 2026-03-27T08:30:08.036014Z  INFO trading_engine::multi_exchange::funding_arb_engine: [funding-arb-engine] Found 3 actionable opportunities
rust-engine-1  | 2026-03-27T08:30:08.093347Z DEBUG hyper_util::client::legacy::pool: pooling idle connection for ("https", api-testnet.gateapi.io)
